,date,Température maximale,Température minimale,Vitesse du vent,Température du vent,Humidité,Visibilité,Couverture nuageuse,Indice de chaleur,Point de rosée,Pression,Heure du lever du soleil,Heure du coucher du soleil,Heure du coucher du soleil,Durée du jour
952,16/08/2011,31°,28°,18km/h,29°,54%,10km,3%,33,20°C,1016hPa,05:37:00,19:10:00,13:33:0,
953,17/08/2011,32°,30°,13km/h,32°,49%,10km,3%,35,21°C,1016hPa,05:38:00,19:09:00,13:31:0,
954,18/08/2011,34°,31°,23km/h,31°,42%,10km,1%,34,20°C,1016hPa,05:39:00,19:07:00,13:28:0,
955,19/08/2011,34°,31°,19km/h,31°,33%,10km,0%,35,19°C,1017hPa,05:40:00,19:06:00,13:26:0,
956,21/08/2011,32°,31°,14km/h,32°,37%,10km,0%,34,20°C,1018hPa,05:41:00,19:04:00,13:23:0,
957,22/08/2011,34°,31°,15km/h,34°,44%,10km,1%,38,22°C,1017hPa,05:42:00,19:02:00,13:20:0,
958,23/08/2011,34°,31°,18km/h,33°,45%,10km,2%,36,23°C,1017hPa,05:43:00,19:01:00,13:18:0,
959,24/08/2011,34°,32°,20km/h,32°,39%,10km,3%,36,20°C,1016hPa,05:44:00,19:00:00,13:16:0,
960,25/08/2011,34°,31°,12km/h,34°,38%,10km,0%,37,21°C,1015hPa,05:44:00,18:58:00,13:14:0,
961,26/08/2011,36°,33°,13km/h,34°,0mm,32%,10km,1%,36,16°C,1014hPa,05:45:00,18:57:00,13:12:0
962,27/08/2011,32°,30°,29km/h,30°,1mm,52%,10km,4%,35,20°C,1017hPa,05:46:00,18:55:00,13:9:0
963,28/08/2011,28°,27°,33km/h,27°,0mm,48%,10km,2%,28,16°C,1019hPa,05:47:00,18:54:00,13:7:0
964,29/08/2011,28°,26°,23km/h,26°,0mm,53%,10km,7%,29,18°C,1017hPa,05:48:00,18:53:00,13:5:0
965,30/08/2011,32°,28°,14km/h,30°,1mm,41%,9.875km,8%,33,18°C,1016hPa,05:48:00,18:51:00,13:3:0
966,31/08/2011,32°,28°,17km/h,29°,0mm,48%,10km,7%,33,18°C,1014hPa,05:49:00,18:50:00,13:1:0
967,1/09/2011,38°,32°,15km/h,32°,45%,10km,7%,41,20°C,1015hPa,05:50:00,18:48:00,12:58:0,
968,2/09/2011,39°,32°,13km/h,32°,0mm,41%,10km,21%,40,20°C,1014hPa,05:51:00,18:47:00,12:56:0
969,3/09/2011,34°,32°,16km/h,33°,1mm,44%,9.875km,29%,35,20°C,1013hPa,05:52:00,18:45:00,12:53:0
970,4/09/2011,31°,30°,22km/h,30°,8mm,54%,9.375km,32%,34,21°C,1016hPa,05:52:00,18:44:00,12:52:0
971,5/09/2011,29°,27°,21km/h,27°,1mm,64%,10km,25%,30,21°C,1021hPa,05:53:00,18:42:00,12:49:0
972,6/09/2011,29°,27°,24km/h,27°,0mm,61%,10km,7%,31,19°C,1022hPa,05:54:00,18:41:00,12:47:0
973,7/09/2011,27°,25°,32km/h,25°,63%,10km,10%,28,19°C,1022hPa,05:55:00,18:39:00,12:44:0,
974,8/09/2011,28°,26°,32km/h,26°,59%,10km,1%,30,19°C,1018hPa,05:56:00,18:38:00,12:42:0,
975,9/09/2011,29°,27°,20km/h,27°,57%,10km,6%,30,21°C,1015hPa,05:56:00,18:36:00,12:40:0,
976,10/09/2011,31°,27°,13km/h,29°,0mm,57%,10km,2%,33,23°C,1015hPa,05:57:00,18:35:00,12:38:0
977,11/09/2011,31°,28°,14km/h,28°,1mm,56%,10km,5%,34,22°C,1016hPa,05:58:00,18:33:00,12:35:0
978,12/09/2011,30°,27°,17km/h,28°,0mm,61%,10km,14%,33,22°C,1017hPa,05:59:00,18:32:00,12:33:0
979,13/09/2011,29°,26°,17km/h,28°,0mm,61%,10km,5%,30,20°C,1016hPa,05:59:00,18:30:00,12:31:0
980,14/09/2011,30°,27°,11km/h,28°,1mm,58%,9.875km,12%,34,20°C,1015hPa,06:00:00,18:29:00,12:29:0
981,15/09/2011,29°,27°,14km/h,29°,3mm,63%,9.625km,5%,32,21°C,1016hPa,06:01:00,18:27:00,12:26:0
982,16/09/2011,29°,26°,13km/h,29°,0mm,56%,10km,0%,32,23°C,1017hPa,06:02:00,18:26:00,12:24:0
983,17/09/2011,31°,28°,8km/h,31°,51%,10km,1%,38,21°C,1016hPa,06:03:00,18:24:00,12:21:0,
984,18/09/2011,31°,29°,12km/h,30°,0mm,54%,10km,3%,37,22°C,1014hPa,06:03:00,18:23:00,12:20:0
985,19/09/2011,25°,22°,29km/h,25°,1mm,64%,9.75km,29%,28,21°C,1017hPa,06:04:00,18:21:00,12:17:0
986,20/09/2011,25°,24°,39km/h,24°,1mm,52%,9.875km,18%,26,15°C,1019hPa,06:05:00,18:20:00,12:15:0
987,21/09/2011,26°,24°,21km/h,24°,0mm,53%,10km,7%,26,15°C,1019hPa,06:06:00,18:18:00,12:12:0
988,22/09/2011,27°,25°,13km/h,28°,45%,10km,10%,30,15°C,1019hPa,06:07:00,18:17:00,12:10:0,
989,23/09/2011,28°,25°,13km/h,27°,0mm,46%,10km,6%,29,18°C,1017hPa,06:07:00,18:15:00,12:8:0
990,24/09/2011,27°,23°,12km/h,24°,1mm,67%,9.875km,20%,28,19°C,1016hPa,06:08:00,18:14:00,12:6:0
991,25/09/2011,27°,25°,16km/h,25°,2mm,67%,9.25km,27%,28,20°C,1019hPa,06:09:00,18:12:00,12:3:0
992,26/09/2011,26°,24°,17km/h,25°,1mm,63%,10km,28%,27,18°C,1021hPa,06:10:00,18:11:00,12:1:0
993,27/09/2011,26°,25°,28km/h,25°,1mm,60%,10km,18%,27,18°C,1021hPa,06:11:00,18:09:00,11:58:0
994,28/09/2011,26°,24°,16km/h,25°,4mm,57%,9.75km,22%,27,18°C,1021hPa,06:11:00,18:08:00,11:57:0
995,29/09/2011,26°,25°,14km/h,26°,1mm,55%,10km,12%,27,18°C,1022hPa,06:12:00,18:06:00,11:54:0
996,30/09/2011,26°,24°,14km/h,25°,1mm,57%,10km,7%,27,19°C,1022hPa,06:13:00,18:05:00,11:52:0
997,1/10/2011,26°,24°,18km/h,25°,0mm,50%,10km,5%,27,16°C,1022hPa,06:14:00,18:03:00,11:49:0
998,2/10/2011,26°,23°,13km/h,25°,0mm,54%,10km,7%,27,18°C,1022hPa,06:15:00,18:02:00,11:47:0
999,3/10/2011,25°,23°,18km/h,24°,1mm,57%,10km,10%,26,17°C,1023hPa,06:16:00,18:00:00,11:44:0
1000,4/10/2011,25°,23°,14km/h,25°,1mm,58%,10km,3%,26,19°C,1023hPa,06:16:00,17:59:00,11:43:0
1001,5/10/2011,25°,23°,13km/h,24°,1mm,63%,10km,4%,27,18°C,1022hPa,06:17:00,17:58:00,11:41:0
1002,6/10/2011,26°,23°,6km/h,26°,1mm,59%,10km,2%,30,19°C,1021hPa,06:18:00,17:56:00,11:38:0
1003,7/10/2011,26°,24°,25km/h,24°,1mm,52%,10km,9%,27,16°C,1019hPa,06:19:00,17:55:00,11:36:0
1004,8/10/2011,22°,20°,31km/h,21°,5mm,60%,9.75km,37%,24,16°C,1014hPa,06:20:00,17:53:00,11:33:0
1005,9/10/2011,21°,20°,41km/h,20°,2mm,59%,9.875km,34%,21,13°C,1018hPa,06:21:00,17:52:00,11:31:0
1006,10/10/2011,21°,21°,29km/h,21°,0mm,46%,10km,8%,24,14°C,1023hPa,06:22:00,17:51:00,11:29:0
1007,11/10/2011,25°,23°,30km/h,23°,69%,10km,46%,26,18°C,1022hPa,06:22:00,17:49:00,11:27:0,
1008,12/10/2011,26°,23°,15km/h,23°,65%,10km,13%,27,17°C,1021hPa,06:23:00,17:48:00,11:25:0,
1009,13/10/2011,27°,24°,21km/h,24°,0mm,46%,10km,2%,27,16°C,1020hPa,06:24:00,17:46:00,11:22:0
1010,14/10/2011,24°,22°,29km/h,23°,1mm,62%,10km,18%,25,16°C,1016hPa,06:25:00,17:45:00,11:20:0
1011,15/10/2011,20°,18°,19km/h,20°,5mm,63%,9.5km,44%,20,14°C,1019hPa,06:26:00,17:44:00,11:18:0
1012,16/10/2011,21°,19°,25km/h,19°,2mm,57%,9.875km,26%,21,12°C,1021hPa,06:27:00,17:42:00,11:15:0
1013,17/10/2011,20°,19°,16km/h,19°,1mm,63%,9.75km,48%,20,12°C,1023hPa,06:28:00,17:41:00,11:13:0
1014,18/10/2011,21°,18°,14km/h,21°,0mm,58%,10km,1%,25,14°C,1024hPa,06:29:00,17:40:00,11:11:0
1015,19/10/2011,24°,20°,17km/h,20°,0mm,56%,10km,0%,25,13°C,1024hPa,06:30:00,17:38:00,11:8:0
1016,20/10/2011,24°,21°,13km/h,22°,4mm,54%,9.625km,17%,25,16°C,1020hPa,06:31:00,17:37:00,11:6:0
1017,21/10/2011,21°,20°,12km/h,20°,0mm,61%,10km,25%,24,14°C,1021hPa,06:32:00,17:36:00,11:4:0
1018,22/10/2011,22°,20°,13km/h,20°,0mm,69%,10km,18%,25,16°C,1021hPa,06:33:00,17:35:00,11:2:0
1019,23/10/2011,24°,21°,6km/h,23°,1mm,63%,10km,10%,26,16°C,1017hPa,06:34:00,17:33:00,10:59:0
1020,24/10/2011,24°,22°,27km/h,22°,0mm,62%,9.875km,26%,25,16°C,1014hPa,06:35:00,17:32:00,10:57:0
1021,25/10/2011,24°,21°,22km/h,21°,0mm,64%,10km,15%,25,16°C,1013hPa,06:35:00,17:31:00,10:56:0
1022,26/10/2011,21°,20°,20km/h,20°,2mm,69%,9.75km,28%,24,16°C,1018hPa,06:36:00,17:30:00,10:54:0
1023,27/10/2011,23°,20°,19km/h,20°,0mm,67%,10km,10%,25,17°C,1018hPa,06:37:00,17:29:00,10:52:0
1024,28/10/2011,25°,23°,23km/h,23°,0mm,67%,10km,23%,26,17°C,1020hPa,06:38:00,17:27:00,10:49:0
1025,29/10/2011,21°,19°,35km/h,21°,4mm,78%,9.5km,79%,24,17°C,1021hPa,06:39:00,17:26:00,10:47:0
1026,30/10/2011,20°,19°,37km/h,19°,41mm,88%,8.875km,73%,20,17°C,1017hPa,06:40:00,17:25:00,10:45:0
1027,31/10/2011,21°,20°,17km/h,20°,8mm,79%,9.625km,43%,21,17°C,1015hPa,06:41:00,17:24:00,10:43:0
1028,1/11/2011,19°,18°,22km/h,18°,20mm,89%,8.5km,89%,19,17°C,1016hPa,06:42:00,17:23:00,10:41:0
1029,2/11/2011,20°,18°,13km/h,18°,1mm,86%,9km,58%,20,16°C,1017hPa,06:43:00,17:22:00,10:39:0
1030,3/11/2011,21°,19°,20km/h,19°,0mm,77%,10km,26%,21,17°C,1016hPa,06:44:00,17:21:00,10:37:0
1031,4/11/2011,22°,20°,29km/h,20°,0mm,73%,10km,13%,25,16°C,1013hPa,06:45:00,17:20:00,10:35:0
1032,5/11/2011,23°,22°,42km/h,22°,2mm,76%,9.875km,12%,25,18°C,1010hPa,06:46:00,17:19:00,10:33:0
1033,6/11/2011,20°,17°,26km/h,17°,0mm,50%,10km,6%,20,11°C,1014hPa,06:48:00,17:18:00,10:30:0
1034,7/11/2011,21°,18°,17km/h,18°,56%,10km,5%,21,10°C,1017hPa,06:49:00,17:17:00,10:28:0,
1035,8/11/2011,21°,18°,8km/h,20°,51%,10km,13%,25,13°C,1019hPa,06:50:00,17:16:00,10:26:0,
1036,9/11/2011,20°,19°,15km/h,19°,0mm,62%,10km,6%,20,13°C,1020hPa,06:51:00,17:15:00,10:24:0
1037,10/11/2011,19°,17°,18km/h,17°,1mm,72%,9.875km,12%,19,14°C,1019hPa,06:52:00,17:14:00,10:22:0
1038,11/11/2011,19°,18°,14km/h,18°,1mm,77%,9.875km,15%,20,14°C,1022hPa,06:53:00,17:14:00,10:21:0
1039,12/11/2011,20°,19°,13km/h,19°,1mm,73%,10km,9%,20,14°C,1026hPa,06:54:00,17:13:00,10:19:0
1040,13/11/2011,19°,18°,14km/h,18°,1mm,73%,9.875km,14%,19,13°C,1026hPa,06:55:00,17:12:00,10:17:0
1041,14/11/2011,17°,16°,9km/h,17°,0mm,68%,10km,15%,18,14°C,1025hPa,06:56:00,17:11:00,10:15:0
1042,15/11/2011,18°,17°,17km/h,17°,0mm,76%,10km,36%,18,13°C,1018hPa,06:57:00,17:10:00,10:13:0
1043,16/11/2011,17°,15°,17km/h,14°,5mm,89%,9.875km,63%,17,14°C,1016hPa,06:58:00,17:10:00,10:12:0
1044,17/11/2011,18°,17°,13km/h,17°,5mm,76%,9.375km,35%,19,13°C,1020hPa,06:59:00,17:09:00,10:10:0
1045,18/11/2011,18°,17°,15km/h,18°,4mm,76%,9.375km,29%,18,13°C,1022hPa,07:00:00,17:09:00,10:9:0
1046,19/11/2011,18°,17°,15km/h,17°,2mm,85%,9.875km,55%,19,14°C,1021hPa,07:01:00,17:08:00,10:7:0
1047,20/11/2011,19°,17°,20km/h,17°,1mm,77%,10km,8%,20,14°C,1019hPa,07:02:00,17:07:00,10:5:0
1048,21/11/2011,21°,19°,40km/h,19°,1mm,85%,10km,36%,21,17°C,1017hPa,07:03:00,17:07:00,10:4:0
1049,22/11/2011,20°,17°,14km/h,17°,0mm,61%,10km,20%,20,13°C,1009hPa,07:04:00,17:06:00,10:2:0
1050,23/11/2011,18°,17°,21km/h,17°,0mm,69%,10km,29%,18,12°C,1018hPa,07:05:00,17:06:00,10:1:0
1051,24/11/2011,19°,17°,17km/h,17°,1mm,78%,10km,31%,19,14°C,1024hPa,07:06:00,17:05:00,9:59:0
1052,25/11/2011,18°,17°,9km/h,17°,1mm,82%,9.875km,23%,19,14°C,1025hPa,07:07:00,17:05:00,9:58:0
1053,26/11/2011,18°,17°,9km/h,18°,0mm,75%,10km,10%,19,14°C,1027hPa,07:08:00,17:05:00,9:57:0
1054,27/11/2011,18°,17°,18km/h,17°,76%,10km,34%,18,13°C,1028hPa,07:09:00,17:04:00,9:55:0,
1055,28/11/2011,18°,17°,33km/h,17°,0mm,85%,9.625km,67%,18,15°C,1024hPa,07:10:00,17:04:00,9:54:0
1056,29/11/2011,16°,15°,21km/h,16°,10mm,85%,9.5km,67%,17,14°C,1022hPa,07:11:00,17:04:00,9:53:0
1057,30/11/2011,18°,17°,14km/h,17°,1mm,76%,9.875km,35%,18,13°C,1029hPa,07:12:00,17:03:00,9:51:0
1058,1/12/2011,17°,15°,6km/h,16°,0mm,81%,10km,15%,18,13°C,1030hPa,07:13:00,17:03:00,9:50:0
1059,2/12/2011,18°,15°,21km/h,14°,74%,10km,7%,18,11°C,1027hPa,07:14:00,17:03:00,9:49:0,
1060,3/12/2011,18°,15°,16km/h,14°,72%,10km,5%,19,11°C,1023hPa,07:15:00,17:03:00,9:48:0,
1061,4/12/2011,17°,15°,20km/h,15°,72%,10km,16%,17,11°C,1024hPa,07:16:00,17:03:00,9:47:0,
1062,5/12/2011,17°,14°,27km/h,14°,0mm,62%,10km,7%,17,9°C,1023hPa,07:17:00,17:03:00,9:46:0
1063,6/12/2011,16°,15°,25km/h,13°,1mm,76%,10km,27%,16,12°C,1023hPa,07:18:00,17:03:00,9:45:0
1064,7/12/2011,18°,16°,27km/h,16°,1mm,75%,10km,38%,18,12°C,1027hPa,07:18:00,17:03:00,9:45:0
1065,8/12/2011,17°,16°,30km/h,16°,0mm,75%,10km,34%,17,12°C,1028hPa,07:19:00,17:03:00,9:44:0
1066,9/12/2011,17°,14°,10km/h,16°,73%,10km,12%,18,11°C,1027hPa,07:20:00,17:03:00,9:43:0,
1067,10/12/2011,17°,14°,18km/h,14°,57%,10km,43%,17,9°C,1022hPa,07:21:00,17:03:00,9:42:0,
1068,11/12/2011,16°,15°,14km/h,16°,56%,10km,35%,17,8°C,1021hPa,07:22:00,17:03:00,9:41:0,
1069,12/12/2011,17°,15°,22km/h,14°,0mm,71%,10km,9%,17,11°C,1022hPa,07:22:00,17:03:00,9:41:0
1070,13/12/2011,16°,15°,19km/h,14°,1mm,74%,10km,18%,16,11°C,1024hPa,07:23:00,17:04:00,9:41:0
1071,14/12/2011,17°,14°,14km/h,16°,0mm,63%,10km,13%,17,10°C,1025hPa,07:24:00,17:04:00,9:40:0
1072,15/12/2011,17°,15°,26km/h,14°,71%,10km,21%,17,12°C,1026hPa,07:25:00,17:04:00,9:39:0,
1073,16/12/2011,16°,14°,23km/h,12°,0mm,76%,10km,6%,16,10°C,1027hPa,07:25:00,17:04:00,9:39:0
1074,17/12/2011,14°,13°,23km/h,11°,4mm,85%,9.125km,66%,14,11°C,1014hPa,07:26:00,17:05:00,9:39:0
1075,18/12/2011,11°,9°,23km/h,9°,3mm,81%,9.75km,54%,12,9°C,1016hPa,07:27:00,17:05:00,9:38:0
1076,19/12/2011,10°,7°,35km/h,6°,2mm,69%,9.625km,40%,11,5°C,1020hPa,07:27:00,17:06:00,9:39:0
1077,20/12/2011,11°,10°,24km/h,7°,5mm,83%,8.625km,84%,11,8°C,1022hPa,07:28:00,17:06:00,9:38:0
1078,21/12/2011,14°,12°,37km/h,10°,5mm,73%,9.5km,39%,14,8°C,1017hPa,07:28:00,17:06:00,9:38:0
1079,22/12/2011,15°,14°,28km/h,12°,2mm,79%,9.875km,26%,16,12°C,1021hPa,07:29:00,17:07:00,9:38:0
1080,23/12/2011,16°,15°,28km/h,13°,0mm,71%,10km,14%,16,10°C,1024hPa,07:29:00,17:07:00,9:38:0
1081,24/12/2011,16°,14°,32km/h,12°,1mm,81%,10km,44%,16,11°C,1024hPa,07:30:00,17:08:00,9:38:0
1082,25/12/2011,14°,13°,39km/h,10°,2mm,75%,9.875km,49%,14,9°C,1027hPa,07:30:00,17:09:00,9:39:0
1083,26/12/2011,14°,13°,20km/h,11°,3mm,69%,9.75km,32%,14,9°C,1029hPa,07:31:00,17:09:00,9:38:0
1084,27/12/2011,12°,9°,9km/h,9°,16mm,93%,9km,87%,12,10°C,1029hPa,07:31:00,17:10:00,9:39:0
1085,28/12/2011,13°,9°,8km/h,9°,1mm,84%,10km,42%,14,10°C,1027hPa,07:31:00,17:11:00,9:40:0
1086,29/12/2011,13°,11°,23km/h,9°,1mm,78%,10km,50%,13,9°C,1025hPa,07:32:00,17:11:00,9:39:0
1087,30/12/2011,13°,10°,49km/h,9°,3mm,78%,9.875km,60%,13,9°C,1020hPa,07:32:00,17:12:00,9:40:0
1088,31/12/2011,13°,12°,39km/h,10°,3mm,87%,8.875km,88%,13,11°C,1023hPa,07:32:00,17:13:00,9:41:0
1089,1/01/2012,16°,15°,32km/h,12°,1mm,82%,10km,68%,16,12°C,1027hPa,07:32:00,17:13:00,9:41:0
1090,2/01/2012,16°,14°,10km/h,14°,1mm,76%,10km,13%,17,11°C,1027hPa,07:32:00,17:14:00,9:42:0
1091,3/01/2012,13°,12°,35km/h,10°,0mm,69%,10km,46%,14,10°C,1026hPa,07:33:00,17:15:00,9:42:0
1092,4/01/2012,14°,13°,35km/h,10°,1mm,81%,10km,60%,14,10°C,1027hPa,07:33:00,17:16:00,9:43:0
1093,5/01/2012,14°,13°,47km/h,10°,1mm,75%,10km,39%,14,10°C,1021hPa,07:33:00,17:17:00,9:44:0
1094,6/01/2012,14°,13°,55km/h,9°,1mm,72%,10km,14%,14,10°C,1015hPa,07:33:00,17:18:00,9:45:0
1095,7/01/2012,15°,13°,20km/h,12°,1mm,68%,10km,66%,15,9°C,1020hPa,07:33:00,17:19:00,9:46:0
1096,8/01/2012,15°,13°,39km/h,10°,1mm,80%,10km,53%,15,10°C,1022hPa,07:33:00,17:19:00,9:46:0
1097,9/01/2012,15°,13°,16km/h,12°,1mm,69%,10km,53%,16,9°C,1021hPa,07:33:00,17:20:00,9:47:0
1098,10/01/2012,14°,12°,16km/h,11°,0mm,63%,10km,1%,14,6°C,1030hPa,07:33:00,17:21:00,9:48:0
1099,11/01/2012,14°,13°,18km/h,12°,1mm,77%,9.375km,28%,14,9°C,1032hPa,07:32:00,17:22:00,9:50:0
1100,12/01/2012,13°,11°,15km/h,10°,0mm,76%,10km,17%,14,9°C,1032hPa,07:32:00,17:23:00,9:51:0
1101,13/01/2012,15°,11°,10km/h,12°,0mm,61%,10km,2%,16,9°C,1030hPa,07:32:00,17:24:00,9:52:0
1102,14/01/2012,14°,12°,18km/h,10°,1mm,75%,9.875km,45%,14,9°C,1022hPa,07:32:00,17:25:00,9:53:0
1103,15/01/2012,14°,12°,18km/h,11°,2mm,78%,9.75km,62%,14,9°C,1019hPa,07:32:00,17:26:00,9:54:0
1104,16/01/2012,14°,11°,10km/h,10°,1mm,76%,9.875km,17%,15,8°C,1016hPa,07:31:00,17:27:00,9:56:0
1105,17/01/2012,12°,11°,25km/h,9°,2mm,85%,9.875km,68%,12,9°C,1027hPa,07:31:00,17:28:00,9:57:0
1106,18/01/2012,12°,10°,17km/h,9°,0mm,67%,10km,35%,12,6°C,1033hPa,07:31:00,17:29:00,9:58:0
1107,19/01/2012,13°,11°,14km/h,10°,68%,10km,30%,13,6°C,1036hPa,07:30:00,17:30:00,10:0:0,
1108,20/01/2012,13°,10°,31km/h,7°,0mm,74%,10km,17%,13,8°C,1032hPa,07:30:00,17:31:00,10:1:0
1109,21/01/2012,15°,13°,42km/h,10°,1mm,81%,10km,45%,15,10°C,1024hPa,07:29:00,17:32:00,10:3:0
1110,22/01/2012,15°,14°,33km/h,11°,1mm,81%,9.375km,54%,15,11°C,1023hPa,07:29:00,17:33:00,10:4:0
1111,23/01/2012,15°,13°,20km/h,11°,1mm,75%,9.875km,49%,15,10°C,1018hPa,07:28:00,17:35:00,10:7:0
1112,24/01/2012,14°,13°,36km/h,10°,1mm,80%,10km,72%,14,10°C,1017hPa,07:28:00,17:36:00,10:8:0
1113,25/01/2012,13°,12°,27km/h,10°,2mm,81%,9.375km,63%,13,9°C,1019hPa,07:27:00,17:37:00,10:10:0
1114,26/01/2012,13°,12°,7km/h,13°,0mm,71%,10km,38%,14,7°C,1021hPa,07:27:00,17:38:00,10:11:0
1115,27/01/2012,14°,11°,19km/h,10°,78%,10km,32%,14,9°C,1022hPa,07:26:00,17:39:00,10:13:0,
1116,28/01/2012,14°,12°,14km/h,11°,0mm,76%,10km,34%,14,8°C,1021hPa,07:25:00,17:40:00,10:15:0
1117,29/01/2012,13°,11°,13km/h,12°,1mm,75%,10km,18%,14,8°C,1016hPa,07:25:00,17:41:00,10:16:0
1118,30/01/2012,9°,7°,18km/h,4°,8mm,98%,8.75km,78%,9,8°C,1012hPa,07:24:00,17:42:00,10:18:0
1119,31/01/2012,13°,12°,25km/h,10°,3mm,79%,10km,57%,13,9°C,1020hPa,07:23:00,17:43:00,10:20:0
1120,1/02/2012,13°,11°,27km/h,8°,1mm,74%,9.875km,51%,13,8°C,1018hPa,07:22:00,17:44:00,10:22:0
1121,2/02/2012,17°,11°,20km/h,10°,1mm,64%,10km,14%,18,9°C,1012hPa,07:21:00,17:45:00,10:24:0
1122,3/02/2012,14°,12°,24km/h,10°,3mm,68%,9.625km,47%,14,7°C,1008hPa,07:21:00,17:46:00,10:25:0
1123,4/02/2012,9°,7°,20km/h,4°,3mm,81%,8km,69%,9,6°C,1019hPa,07:20:00,17:47:00,10:27:0
1124,5/02/2012,8°,7°,24km/h,3°,1mm,77%,9.875km,35%,8,3°C,1020hPa,07:19:00,17:48:00,10:29:0
1125,6/02/2012,9°,7°,38km/h,3°,2mm,72%,8.75km,50%,9,3°C,1015hPa,07:18:00,17:50:00,10:32:0
1126,7/02/2012,7°,6°,29km/h,2°,5mm,87%,9.875km,47%,7,4°C,1010hPa,07:17:00,17:51:00,10:34:0
1127,8/02/2012,10°,8°,19km/h,4°,2mm,83%,9.875km,33%,10,6°C,1016hPa,07:16:00,17:52:00,10:36:0
1128,9/02/2012,11°,9°,26km/h,8°,2mm,82%,10km,36%,11,7°C,1021hPa,07:15:00,17:53:00,10:38:0
1129,10/02/2012,12°,10°,36km/h,6°,1mm,74%,9.875km,23%,12,5°C,1019hPa,07:14:00,17:54:00,10:40:0
1130,11/02/2012,9°,5°,16km/h,7°,0mm,67%,10km,39%,9,4°C,1017hPa,07:13:00,17:55:00,10:42:0
1131,12/02/2012,8°,7°,27km/h,3°,2mm,78%,9.75km,40%,8,3°C,1019hPa,07:12:00,17:56:00,10:44:0
1132,13/02/2012,9°,6°,17km/h,4°,1mm,64%,10km,17%,9,2°C,1020hPa,07:11:00,17:57:00,10:46:0
1133,14/02/2012,9°,7°,27km/h,4°,2mm,74%,9.75km,50%,9,4°C,1017hPa,07:10:00,17:58:00,10:48:0
1134,15/02/2012,11°,9°,33km/h,5°,1mm,73%,10km,30%,11,5°C,1021hPa,07:09:00,17:59:00,10:50:0
1135,16/02/2012,11°,10°,40km/h,6°,1mm,78%,9.875km,76%,11,7°C,1021hPa,07:07:00,18:00:00,10:53:0
1136,17/02/2012,13°,11°,13km/h,9°,1mm,75%,8.875km,43%,13,7°C,1025hPa,07:06:00,18:01:00,10:55:0
1137,18/02/2012,14°,11°,9km/h,12°,0mm,74%,10km,9%,15,8°C,1025hPa,07:05:00,18:02:00,10:57:0
1138,19/02/2012,15°,11°,13km/h,9°,1mm,71%,9.875km,12%,15,7°C,1022hPa,07:04:00,18:03:00,10:59:0
1139,20/02/2012,14°,12°,13km/h,11°,3mm,75%,9.625km,32%,14,8°C,1022hPa,07:03:00,18:04:00,11:1:0
1140,21/02/2012,12°,11°,27km/h,8°,1mm,78%,9km,49%,12,7°C,1023hPa,07:01:00,18:05:00,11:4:0
1141,22/02/2012,13°,10°,36km/h,7°,8mm,94%,9.125km,98%,13,11°C,1014hPa,07:00:00,18:06:00,11:6:0
1142,23/02/2012,14°,13°,30km/h,11°,4mm,85%,9.875km,72%,14,11°C,1025hPa,06:59:00,18:07:00,11:8:0
1143,24/02/2012,15°,13°,17km/h,11°,0mm,82%,10km,22%,15,11°C,1029hPa,06:58:00,18:08:00,11:10:0
1144,25/02/2012,15°,12°,14km/h,13°,0mm,78%,10km,0%,16,11°C,1028hPa,06:56:00,18:09:00,11:13:0
1145,26/02/2012,15°,12°,39km/h,10°,1mm,76%,10km,39%,15,10°C,1019hPa,06:55:00,18:10:00,11:15:0
1146,27/02/2012,14°,13°,38km/h,11°,1mm,68%,10km,22%,14,10°C,1024hPa,06:54:00,18:11:00,11:17:0
1147,28/02/2012,14°,12°,8km/h,12°,0mm,59%,10km,8%,15,6°C,1024hPa,06:52:00,18:12:00,11:20:0
1148,1/03/2012,15°,13°,22km/h,11°,75%,10km,5%,15,10°C,1026hPa,06:50:00,18:14:00,11:24:0,
1149,2/03/2012,17°,13°,5km/h,15°,69%,10km,3%,21,13°C,1028hPa,06:48:00,18:15:00,11:27:0,
1150,3/03/2012,17°,16°,25km/h,16°,0mm,77%,10km,4%,17,12°C,1027hPa,06:47:00,18:16:00,11:29:0
1151,4/03/2012,16°,14°,30km/h,12°,1mm,73%,10km,21%,16,10°C,1027hPa,06:45:00,18:17:00,11:32:0
1152,5/03/2012,15°,14°,28km/h,12°,1mm,79%,9.875km,48%,15,11°C,1022hPa,06:44:00,18:17:00,11:33:0
1153,6/03/2012,13°,12°,22km/h,10°,1mm,67%,9.875km,41%,13,6°C,1022hPa,06:43:00,18:18:00,11:35:0
1154,7/03/2012,9°,7°,16km/h,7°,2mm,88%,9.875km,85%,10,8°C,1021hPa,06:41:00,18:19:00,11:38:0
1155,8/03/2012,13°,11°,32km/h,7°,2mm,78%,10km,69%,13,8°C,1021hPa,06:40:00,18:20:00,11:40:0
1156,9/03/2012,14°,12°,25km/h,10°,0mm,74%,10km,57%,14,10°C,1021hPa,06:38:00,18:21:00,11:43:0
1157,10/03/2012,13°,12°,41km/h,9°,13mm,92%,8.875km,97%,13,11°C,1016hPa,06:37:00,18:22:00,11:45:0
1158,11/03/2012,13°,12°,36km/h,10°,2mm,86%,10km,73%,13,10°C,1017hPa,06:35:00,18:23:00,11:48:0
